 0.9576666666666668 1.2458333333333331 
L 2.040999999999999 2.2923333333333336 
L 3.087500000000004 3.375666666666672 
L 4.2076666666666735 4.495833333333338 
R 4.966000000000001 5.182666666666666 
R 5.940999999999994 6.118666666666659 
R 6.879166666666653 7.095833333333318 
R 7.890999999999979 8.072999999999979 
R 8.829166666666646 9.12816666666665 
R 10.779166666666658 10.924333333333326 
R 11.719499999999998 11.897166666666665 
R 12.80283333333334 12.980500000000006 
R 13.95766666666668 14.137500000000015 
R 14.898000000000017 15.112500000000018 
R 15.944500000000025 16.12216666666669 
R 16.629166666666695 16.80900000000003 
L 9.552833333333318 16.80900000000003 
L 17.89233333333337 18.109000000000037 
L 18.97566666666671 19.229166666666714 
L 20.061166666666722 20.42083333333339 
R 17.0971666666667 20.56600000000006 
R 20.891000000000062 21.3243333333334 
R 22.08266666666674 22.191000000000074 
L 21.471666666666735 22.661166666666745 
R 22.550666666666743 23.131333333333416 
R 23.816000000000088 23.95900000000009 
L 23.163833333333415 24.539666666666758 
R 24.574333333333424 25.404166666666764 
L 25.475666666666765 25.7660000000001 
R 26.019500000000104 26.234000000000105 
L 26.593666666666774 26.738833333333442 
R 26.88400000000011 27.063833333333445 
L 27.35416666666678 27.932666666666787 
R 28.004166666666787 28.439666666666792 
L 28.509000000000125 28.87083333333346 
R 28.979166666666796 29.267333333333465 
L 29.6291666666668 30.06250000000014 
R 30.279166666666807 30.495833333333476 
R 31.000666666666813 31.14583333333348 
L 31.542333333333485 31.72216666666682 
R 31.869500000000155 32.01250000000015 
R 32.44583333333349 32.66250000000016 
L 32.98533333333349 33.423000000000165 
R 33.455500000000164 33.637500000000166 
R 34.32216666666684 34.79233333333351 
L 35.04583333333351 35.33400000000018 
R 35.659000000000184 35.841000000000186 
R 36.16383333333352 36.34800000000019 
R 37.2840000000002 37.4270000000002 
R 38.005500000000204 38.475666666666875 
L 36.63400000000019 38.54933333333354 
R 39.95550000000022 40.17433333333356 
R 41.18400000000023 41.4006666666669 
R 42.306333333333576 42.52083333333358 
R 43.385333333333584 43.63883333333359 
L 39.08883333333355 43.85766666666692 
R 44.18050000000026 44.43400000000026 
R 45.300666666666935 45.5173333333336 
R 46.56600000000028 46.70900000000028 
R 47.57783333333362 47.79450000000029 
L 44.21950000000026 48.15200000000029 
L 48.7305000000003 49.05766666666697 
L 49.88533333333364 50.13883333333364 
L 50.89716666666698 51.18750000000032 
L 51.94366666666699 52.268666666666995 
L 52.990166666667 53.20683333333367 
L 54.03883333333368 54.29233333333368 
L 55.33883333333369 55.55550000000036 
L 56.387500000000365 56.6388333333337 
L 57.39716666666704 57.577000000000375 
R 48.6590000000003 58.08183333333371 
R 58.62566666666705 58.84233333333372 
R 59.77833333333373 59.99716666666706 
R 60.90283333333374 61.11516666666707 
R 61.94716666666708 62.127000000000415 
R 62.92216666666709 63.13883333333376 
L 58.08183333333371 63.46383333333376 
L 63.68050000000043 64.00333333333377 
L 64.72700000000044 64.97833333333378 
L 65.73883333333379 65.99016666666712 
L 66.7138333333338 67.07566666666713 
R 63.643666666667094 67.47216666666714 
R 67.9423333333338 68.15900000000047 
R 69.13400000000048 69.34850000000048 
R 70.28666666666716 70.5055000000005 
R 71.33533333333384 71.51516666666717 
R 72.45766666666718 72.63750000000051 
R 73.53883333333386 73.68400000000052 
R 74.58533333333386 74.80200000000053 
R 75.70550000000054 75.92000000000054 
R 76.82566666666722 77.18533333333389 
L 67.83400000000047 77.47566666666722 
R 78.05200000000056 78.84716666666723 
R 79.86116666666724 80.03666666666724 
R 80.97916666666725 81.15900000000059 
R 82.06033333333393 82.31383333333393 
L 78.9533333333339 82.6020000000006 
R 83.2520000000006 83.75683333333394 
R 84.37000000000062 84.58666666666728 
R 85.4576666666673 85.70900000000063 
R 86.46733333333397 86.7186666666673 
L 83.10683333333394 87.22350000000064 
